"Date","ExchangeRate"
"12 Jan 24","1.2761"
"11 Jan 24","1.2714"
"10 Jan 24","1.2736"
"09 Jan 24","1.2704"
"08 Jan 24","1.275"
"05 Jan 24","1.2752"
"04 Jan 24","1.2699"
"03 Jan 24","1.2628"
"02 Jan 24","1.2625"
"29 Dec 23","1.2747"
"28 Dec 23","1.277"
"27 Dec 23","1.2789"
"22 Dec 23","1.2716"
"21 Dec 23","1.2656"
"20 Dec 23","1.2668"
"19 Dec 23","1.2739"
"18 Dec 23","1.2645"
"15 Dec 23","1.2699"
"14 Dec 23","1.276"
"13 Dec 23","1.2526"
"12 Dec 23","1.2561"
"11 Dec 23","1.2551"
"08 Dec 23","1.2547"
"07 Dec 23","1.2574"
"06 Dec 23","1.2593"
"05 Dec 23","1.2613"
"04 Dec 23","1.2612"
"01 Dec 23","1.2635"
"30 Nov 23","1.2656"
"29 Nov 23","1.2697"
"28 Nov 23","1.2683"
"27 Nov 23","1.2607"
"24 Nov 23","1.2608"
"23 Nov 23","1.2531"
"22 Nov 23","1.246"
"21 Nov 23","1.2533"
"20 Nov 23","1.2493"
"17 Nov 23","1.2433"
"16 Nov 23","1.2444"
"15 Nov 23","1.2444"
"14 Nov 23","1.2455"
"13 Nov 23","1.2253"
"10 Nov 23","1.2198"
"09 Nov 23","1.2287"
"08 Nov 23","1.2296"
"07 Nov 23","1.2305"
"06 Nov 23","1.2397"
"03 Nov 23","1.2373"
"02 Nov 23","1.2173"
"01 Nov 23","1.2126"
"31 Oct 23","1.2134"
"30 Oct 23","1.2156"
"27 Oct 23","1.2141"
"26 Oct 23","1.2121"
"25 Oct 23","1.2144"
"24 Oct 23","1.2178"
"23 Oct 23","1.2208"
"20 Oct 23","1.215"
"19 Oct 23","1.2143"
"18 Oct 23","1.2146"
"17 Oct 23","1.2182"
"16 Oct 23","1.2189"
"13 Oct 23","1.2141"
"12 Oct 23","1.2214"
"11 Oct 23","1.2312"
"10 Oct 23","1.2257"
"09 Oct 23","1.221"
"06 Oct 23","1.2188"
"05 Oct 23","1.216"
"04 Oct 23","1.2115"
"03 Oct 23","1.208"
"02 Oct 23","1.2122"
"29 Sep 23","1.2207"
"28 Sep 23","1.2198"
"27 Sep 23","1.213"
"26 Sep 23","1.2168"
"25 Sep 23","1.2198"
"22 Sep 23","1.2265"
"21 Sep 23","1.2288"
"20 Sep 23","1.2398"
"19 Sep 23","1.2402"
"18 Sep 23","1.238"
"15 Sep 23","1.2395"
"14 Sep 23","1.2415"
"13 Sep 23","1.249"
"12 Sep 23","1.2466"
"11 Sep 23","1.2529"
"08 Sep 23","1.2485"
"07 Sep 23","1.2476"
"06 Sep 23","1.2491"
"05 Sep 23","1.2554"
"04 Sep 23","1.2618"
"01 Sep 23","1.2619"
"31 Aug 23","1.2673"
"30 Aug 23","1.2727"
"29 Aug 23","1.2589"
"25 Aug 23","1.2554"
"24 Aug 23","1.2648"
"23 Aug 23","1.2683"
"22 Aug 23","1.2732"
"21 Aug 23","1.2727"
"18 Aug 23","1.2716"
"17 Aug 23","1.2757"
"16 Aug 23","1.2753"
"15 Aug 23","1.2745"
"14 Aug 23","1.2661"
"11 Aug 23","1.2713"
"10 Aug 23","1.2735"
"09 Aug 23","1.2732"
"08 Aug 23","1.2722"
"07 Aug 23","1.2772"
"04 Aug 23","1.2757"
"03 Aug 23","1.2697"
"02 Aug 23","1.2689"
"01 Aug 23","1.2762"
"31 Jul 23","1.2863"
"28 Jul 23","1.2864"
"27 Jul 23","1.2849"
"26 Jul 23","1.2923"
"25 Jul 23","1.2856"
"24 Jul 23","1.2817"
"21 Jul 23","1.2845"
"20 Jul 23","1.2851"
"19 Jul 23","1.2885"
"18 Jul 23","1.3081"
"17 Jul 23","1.3082"
"14 Jul 23","1.3116"
"13 Jul 23","1.3114"
"12 Jul 23","1.2997"
"11 Jul 23","1.2897"
"10 Jul 23","1.2815"
"07 Jul 23","1.2825"
"06 Jul 23","1.2696"
"05 Jul 23","1.2716"
"04 Jul 23","1.2726"
"03 Jul 23","1.2689"
"30 Jun 23","1.2714"
"29 Jun 23","1.2618"
"28 Jun 23","1.2614"
"27 Jun 23","1.2746"
"26 Jun 23","1.2709"
"23 Jun 23","1.2711"
"22 Jun 23","1.2738"
"21 Jun 23","1.2731"
"20 Jun 23","1.2735"
"19 Jun 23","1.2796"
"16 Jun 23","1.2812"
"15 Jun 23","1.2743"
"14 Jun 23","1.2696"
"13 Jun 23","1.2604"
"12 Jun 23","1.251"
"09 Jun 23","1.258"
"08 Jun 23","1.2535"
"07 Jun 23","1.2462"
"06 Jun 23","1.2408"
"05 Jun 23","1.241"
"02 Jun 23","1.2485"
"01 Jun 23","1.2524"
"31 May 23","1.2394"
"30 May 23","1.2411"
"26 May 23","1.2332"
"25 May 23","1.2357"
"24 May 23","1.2367"
"23 May 23","1.242"
"22 May 23","1.2423"
"19 May 23","1.2436"
"18 May 23","1.2409"
"17 May 23","1.2466"
"16 May 23","1.2494"
"15 May 23","1.251"
"12 May 23","1.2477"
"11 May 23","1.2523"
"10 May 23","1.2618"
"09 May 23","1.2612"
"05 May 23","1.2627"
"04 May 23","1.2572"
"03 May 23","1.2533"
"02 May 23","1.2472"
"28 Apr 23","1.2566"
"27 Apr 23","1.2494"
"26 Apr 23","1.2472"
"25 Apr 23","1.2402"
"24 Apr 23","1.2456"
"21 Apr 23","1.2398"
"20 Apr 23","1.2458"
"19 Apr 23","1.245"
"18 Apr 23","1.2428"
"17 Apr 23","1.2365"
"14 Apr 23","1.2444"
"13 Apr 23","1.251"
"12 Apr 23","1.2466"
"11 Apr 23","1.2431"
"06 Apr 23","1.2434"
"05 Apr 23","1.245"
"04 Apr 23","1.2516"
"03 Apr 23","1.2397"
"31 Mar 23","1.2364"
"30 Mar 23","1.238"
"29 Mar 23","1.2311"
"28 Mar 23","1.2327"
"27 Mar 23","1.2274"
"24 Mar 23","1.2224"
"23 Mar 23","1.2316"
"22 Mar 23","1.2232"
"21 Mar 23","1.2196"
"20 Mar 23","1.2255"
"17 Mar 23","1.214"
"16 Mar 23","1.2109"
"15 Mar 23","1.2028"
"14 Mar 23","1.2146"
"13 Mar 23","1.2159"
"10 Mar 23","1.2102"
"09 Mar 23","1.1892"
"08 Mar 23","1.1837"
"07 Mar 23","1.1872"
"06 Mar 23","1.2002"
"03 Mar 23","1.1977"
"02 Mar 23","1.1954"
"01 Mar 23","1.2007"
"28 Feb 23","1.2107"
"27 Feb 23","1.2031"
"24 Feb 23","1.1941"
"23 Feb 23","1.2023"
"22 Feb 23","1.2067"
"21 Feb 23","1.2139"
"20 Feb 23","1.2028"
"17 Feb 23","1.1998"
"16 Feb 23","1.2011"
"15 Feb 23","1.2003"
"14 Feb 23","1.2156"
"13 Feb 23","1.2137"
"10 Feb 23","1.2074"
"09 Feb 23","1.2169"
"08 Feb 23","1.2077"
"07 Feb 23","1.2015"
"06 Feb 23","1.2013"
"03 Feb 23","1.2105"
"02 Feb 23","1.2298"
"01 Feb 23","1.2326"
"31 Jan 23","1.2307"
"30 Jan 23","1.2379"
"27 Jan 23","1.2358"
"26 Jan 23","1.2356"
"25 Jan 23","1.2358"
"24 Jan 23","1.2315"
"23 Jan 23","1.2368"
"20 Jan 23","1.2369"
"19 Jan 23","1.2359"
"18 Jan 23","1.2394"
"17 Jan 23","1.228"
"16 Jan 23","1.2206"
"13 Jan 23","1.2215"
"12 Jan 23","1.2177"
"11 Jan 23","1.213"
"10 Jan 23","1.2148"
"09 Jan 23","1.2193"
"06 Jan 23","1.2047"
"05 Jan 23","1.1879"
"04 Jan 23","1.2041"
"03 Jan 23","1.2008"
"30 Dec 22","1.2039"
"29 Dec 22","1.2055"
"28 Dec 22","1.2037"
"23 Dec 22","1.207"
"22 Dec 22","1.203"
"21 Dec 22","1.2109"
"20 Dec 22","1.2139"
"19 Dec 22","1.213"
"16 Dec 22","1.2153"
"15 Dec 22","1.222"
"14 Dec 22","1.2404"
"13 Dec 22","1.2395"
"12 Dec 22","1.2253"
"09 Dec 22","1.2295"
"08 Dec 22","1.2219"
"07 Dec 22","1.2198"
"06 Dec 22","1.2223"
"05 Dec 22","1.2218"
"02 Dec 22","1.2216"
"01 Dec 22","1.2267"
"30 Nov 22","1.1912"
"29 Nov 22","1.2002"
"28 Nov 22","1.204"
"25 Nov 22","1.2095"
"24 Nov 22","1.2142"
"23 Nov 22","1.2065"
"22 Nov 22","1.188"
"21 Nov 22","1.1786"
"18 Nov 22","1.1927"
"17 Nov 22","1.1778"
"16 Nov 22","1.1889"
"15 Nov 22","1.1895"
"14 Nov 22","1.1729"
"11 Nov 22","1.1774"
"10 Nov 22","1.1678"
"09 Nov 22","1.1374"
"08 Nov 22","1.1564"
"07 Nov 22","1.1466"
"04 Nov 22","1.1277"
"03 Nov 22","1.1179"
"02 Nov 22","1.1463"
"01 Nov 22","1.146"
"31 Oct 22","1.1514"
"28 Oct 22","1.1592"
"27 Oct 22","1.1581"
"26 Oct 22","1.16"
"25 Oct 22","1.1458"
"24 Oct 22","1.1314"
"21 Oct 22","1.1126"
"20 Oct 22","1.1319"
"19 Oct 22","1.126"
"18 Oct 22","1.1322"
"17 Oct 22","1.1434"
"14 Oct 22","1.1251"
"13 Oct 22","1.1237"
"12 Oct 22","1.1072"
"11 Oct 22","1.1083"
"10 Oct 22","1.1048"
"07 Oct 22","1.1117"
"06 Oct 22","1.1199"
"05 Oct 22","1.1245"
"04 Oct 22","1.1404"
"03 Oct 22","1.128"
"30 Sep 22","1.117"
"29 Sep 22","1.1034"
"28 Sep 22","1.0745"
"27 Sep 22","1.0774"
"26 Sep 22","1.0787"
"23 Sep 22","1.0897"
"22 Sep 22","1.1265"
"21 Sep 22","1.1333"
"20 Sep 22","1.1415"
"16 Sep 22","1.1431"
"15 Sep 22","1.149"
"14 Sep 22","1.158"
"13 Sep 22","1.1541"
"12 Sep 22","1.1704"
"09 Sep 22","1.1583"
"08 Sep 22","1.1491"
"07 Sep 22","1.1467"
"06 Sep 22","1.1529"
"05 Sep 22","1.1507"
"02 Sep 22","1.1584"
"01 Sep 22","1.1526"
"31 Aug 22","1.1638"
"30 Aug 22","1.1631"
"26 Aug 22","1.1792"
"25 Aug 22","1.1826"
"24 Aug 22","1.1818"
"23 Aug 22","1.1852"
"22 Aug 22","1.179"
"19 Aug 22","1.1805"
"18 Aug 22","1.2003"
"17 Aug 22","1.2044"
"16 Aug 22","1.2095"
"15 Aug 22","1.208"
"12 Aug 22","1.2118"
"11 Aug 22","1.2226"
"10 Aug 22","1.2259"
"09 Aug 22","1.2088"
"08 Aug 22","1.2119"
"05 Aug 22","1.206"
"04 Aug 22","1.2111"
"03 Aug 22","1.2112"
"02 Aug 22","1.2218"
"01 Aug 22","1.2283"
"29 Jul 22","1.2162"
"28 Jul 22","1.2114"
"27 Jul 22","1.2031"
"26 Jul 22","1.2044"
"25 Jul 22","1.2045"
"22 Jul 22","1.204"
"21 Jul 22","1.1947"
"20 Jul 22","1.1998"
"19 Jul 22","1.2027"
"18 Jul 22","1.2026"
"15 Jul 22","1.1855"
"14 Jul 22","1.1785"
"13 Jul 22","1.1954"
"12 Jul 22","1.1888"
"11 Jul 22","1.1885"
"08 Jul 22","1.2025"
"07 Jul 22","1.2001"
"06 Jul 22","1.1912"
"05 Jul 22","1.1916"
"04 Jul 22","1.2117"
"01 Jul 22","1.2005"
"30 Jun 22","1.2143"
"29 Jun 22","1.2121"
"28 Jun 22","1.2201"
"27 Jun 22","1.2303"
"24 Jun 22","1.2288"
"23 Jun 22","1.2242"
"22 Jun 22","1.2254"
"21 Jun 22","1.2282"
"20 Jun 22","1.2255"
"17 Jun 22","1.2182"
"16 Jun 22","1.2274"
"15 Jun 22","1.2066"
"14 Jun 22","1.2001"
"13 Jun 22","1.2131"
"10 Jun 22","1.2342"
"09 Jun 22","1.254"
"08 Jun 22","1.2549"
"07 Jun 22","1.258"
"06 Jun 22","1.2557"
"01 Jun 22","1.2496"
"31 May 22","1.2601"
"30 May 22","1.2648"
"27 May 22","1.2615"
"26 May 22","1.2573"
"25 May 22","1.2545"
"24 May 22","1.2525"
"23 May 22","1.2571"
"20 May 22","1.2466"
"19 May 22","1.2489"
"18 May 22","1.2413"
"17 May 22","1.247"
"16 May 22","1.225"
"13 May 22","1.222"
"12 May 22","1.2228"
"11 May 22","1.234"
"10 May 22","1.2313"
"09 May 22","1.2306"
"06 May 22","1.235"
"05 May 22","1.2374"
"04 May 22","1.2499"
"03 May 22","1.2514"
"29 Apr 22","1.2556"
"28 Apr 22","1.2439"
"27 Apr 22","1.2503"
"26 Apr 22","1.2621"
"25 Apr 22","1.2717"
"22 Apr 22","1.2843"
"21 Apr 22","1.3031"
"20 Apr 22","1.3048"
"19 Apr 22","1.299"
"14 Apr 22","1.3048"
"13 Apr 22","1.3038"
"12 Apr 22","1.3038"
"11 Apr 22","1.3041"
"08 Apr 22","1.3007"
"07 Apr 22","1.3066"
"06 Apr 22","1.3094"
"05 Apr 22","1.3114"
"04 Apr 22","1.3116"
"01 Apr 22","1.3109"
"31 Mar 22","1.3162"
"30 Mar 22","1.3173"
"29 Mar 22","1.3136"
"28 Mar 22","1.3089"
"25 Mar 22","1.3192"
"24 Mar 22","1.3184"
"23 Mar 22","1.3211"
"22 Mar 22","1.326"
"21 Mar 22","1.3202"
"18 Mar 22","1.3173"
"17 Mar 22","1.3157"
"16 Mar 22","1.3095"
"15 Mar 22","1.3067"
"14 Mar 22","1.3047"
"11 Mar 22","1.3085"
"10 Mar 22","1.313"
"09 Mar 22","1.3158"
"08 Mar 22","1.3111"
"07 Mar 22","1.3135"
"04 Mar 22","1.3215"
"03 Mar 22","1.3341"
"02 Mar 22","1.3315"
"01 Mar 22","1.3352"
"28 Feb 22","1.3419"
"25 Feb 22","1.3416"
"24 Feb 22","1.3275"
"23 Feb 22","1.356"
"22 Feb 22","1.3591"
"21 Feb 22","1.3607"
"18 Feb 22","1.3584"
"17 Feb 22","1.362"
"16 Feb 22","1.3578"
"15 Feb 22","1.3522"
"14 Feb 22","1.3513"
"11 Feb 22","1.3603"
"10 Feb 22","1.3616"
"09 Feb 22","1.3546"
"08 Feb 22","1.3553"
"07 Feb 22","1.353"
"04 Feb 22","1.353"
"03 Feb 22","1.361"
"02 Feb 22","1.3572"
"01 Feb 22","1.3506"
"31 Jan 22","1.3418"
"28 Jan 22","1.3415"
"27 Jan 22","1.339"
"26 Jan 22","1.3513"
"25 Jan 22","1.3486"
"24 Jan 22","1.3464"
"21 Jan 22","1.3559"
"20 Jan 22","1.3659"
"19 Jan 22","1.359"
"18 Jan 22","1.3582"
"17 Jan 22","1.365"
"14 Jan 22","1.3683"
"13 Jan 22","1.3734"
"12 Jan 22","1.3687"
"11 Jan 22","1.3605"
"10 Jan 22","1.3561"
"07 Jan 22","1.3572"
"06 Jan 22","1.3527"
"05 Jan 22","1.3565"
"04 Jan 22","1.3553"
"31 Dec 21","1.3477"
"30 Dec 21","1.3499"
"29 Dec 21","1.3486"
"24 Dec 21","1.3413"
"23 Dec 21","1.341"
"22 Dec 21","1.3345"
"21 Dec 21","1.3233"
"20 Dec 21","1.3221"
"17 Dec 21","1.3263"
"16 Dec 21","1.3327"
"15 Dec 21","1.3214"
"14 Dec 21","1.3233"
"13 Dec 21","1.3231"
"10 Dec 21","1.3228"
"09 Dec 21","1.3206"
"08 Dec 21","1.3216"
"07 Dec 21","1.3235"
"06 Dec 21","1.3236"
"03 Dec 21","1.3219"
"02 Dec 21","1.3307"
"01 Dec 21","1.3315"
"30 Nov 21","1.3233"
"29 Nov 21","1.3295"
"26 Nov 21","1.3336"
"25 Nov 21","1.3319"
"24 Nov 21","1.333"
"23 Nov 21","1.337"
"22 Nov 21","1.3402"
"19 Nov 21","1.3462"
"18 Nov 21","1.3477"
"17 Nov 21","1.3465"
"16 Nov 21","1.3421"
"15 Nov 21","1.3431"
"12 Nov 21","1.3394"
"11 Nov 21","1.3392"
"10 Nov 21","1.3475"
"09 Nov 21","1.3551"
"08 Nov 21","1.3563"
"05 Nov 21","1.3492"
"04 Nov 21","1.3492"
"03 Nov 21","1.3659"
"02 Nov 21","1.3611"
"01 Nov 21","1.3678"
"29 Oct 21","1.3706"
"28 Oct 21","1.38"
"27 Oct 21","1.3713"
"26 Oct 21","1.3784"
"25 Oct 21","1.3771"
"22 Oct 21","1.3772"
"21 Oct 21","1.3821"
"20 Oct 21","1.3816"
"19 Oct 21","1.3799"
"18 Oct 21","1.372"
"15 Oct 21","1.3769"
"14 Oct 21","1.3683"
"13 Oct 21","1.3633"
"12 Oct 21","1.3601"
"11 Oct 21","1.3626"
"08 Oct 21","1.3637"
"07 Oct 21","1.3622"
"06 Oct 21","1.3569"
"05 Oct 21","1.3624"
"04 Oct 21","1.3605"
"01 Oct 21","1.354"
"30 Sep 21","1.3484"
"29 Sep 21","1.3425"
"28 Sep 21","1.3537"
"27 Sep 21","1.3708"
"24 Sep 21","1.3672"
"23 Sep 21","1.3745"
"22 Sep 21","1.3645"
"21 Sep 21","1.3644"
"20 Sep 21","1.3665"
"17 Sep 21","1.3749"
"16 Sep 21","1.3782"
"15 Sep 21","1.3828"
"14 Sep 21","1.385"
"13 Sep 21","1.3848"
"10 Sep 21","1.3855"
"09 Sep 21","1.3844"
"08 Sep 21","1.3737"
"07 Sep 21","1.3783"
"06 Sep 21","1.3827"
"03 Sep 21","1.3871"
"02 Sep 21","1.3833"
"01 Sep 21","1.3786"
"31 Aug 21","1.3761"
"27 Aug 21","1.3747"
"26 Aug 21","1.3715"
"25 Aug 21","1.3731"
"24 Aug 21","1.3732"
"23 Aug 21","1.3714"
"20 Aug 21","1.3613"
"19 Aug 21","1.3661"
"18 Aug 21","1.3756"
"17 Aug 21","1.3738"
"16 Aug 21","1.3858"
"13 Aug 21","1.3853"
"12 Aug 21","1.3835"
"11 Aug 21","1.3868"
"10 Aug 21","1.3847"
"09 Aug 21","1.3848"
"06 Aug 21","1.3868"
"05 Aug 21","1.3933"
"04 Aug 21","1.3908"
"03 Aug 21","1.3892"
"02 Aug 21","1.3898"
"30 Jul 21","1.3907"
"29 Jul 21","1.3975"
"28 Jul 21","1.3871"
"27 Jul 21","1.3881"
"26 Jul 21","1.3824"
"23 Jul 21","1.375"
"22 Jul 21","1.3756"
"21 Jul 21","1.3675"
"20 Jul 21","1.3605"
"19 Jul 21","1.367"
"16 Jul 21","1.379"
"15 Jul 21","1.3863"
"14 Jul 21","1.3869"
"13 Jul 21","1.3842"
"12 Jul 21","1.3894"
"09 Jul 21","1.3839"
"08 Jul 21","1.3761"
"07 Jul 21","1.3777"
"06 Jul 21","1.3807"
"05 Jul 21","1.384"
"02 Jul 21","1.3783"
"01 Jul 21","1.377"
"30 Jun 21","1.3819"
"29 Jun 21","1.3837"
"28 Jun 21","1.3885"
"25 Jun 21","1.3914"
"24 Jun 21","1.3895"
"23 Jun 21","1.3969"
"22 Jun 21","1.3916"
"21 Jun 21","1.3905"
"18 Jun 21","1.3807"
"17 Jun 21","1.3951"
"16 Jun 21","1.4104"
"15 Jun 21","1.4083"
"14 Jun 21","1.4115"
"11 Jun 21","1.4123"
"10 Jun 21","1.4142"
"09 Jun 21","1.4127"
"08 Jun 21","1.415"
"07 Jun 21","1.4168"
"04 Jun 21","1.4172"
"03 Jun 21","1.418"
"02 Jun 21","1.4165"
"01 Jun 21","1.4173"
"28 May 21","1.4176"
"27 May 21","1.4181"
"26 May 21","1.4124"
"25 May 21","1.4133"
"24 May 21","1.4158"
"21 May 21","1.4162"
"20 May 21","1.4155"
"19 May 21","1.4145"
"18 May 21","1.4211"
"17 May 21","1.4118"
"14 May 21","1.4088"
"13 May 21","1.4046"
"12 May 21","1.4096"
"11 May 21","1.4144"
"10 May 21","1.4138"
"07 May 21","1.3979"
"06 May 21","1.3888"
"05 May 21","1.391"
"04 May 21","1.3883"
"30 Apr 21","1.3845"
"29 Apr 21","1.3945"
"28 Apr 21","1.3906"
"27 Apr 21","1.3915"
"26 Apr 21","1.3894"
"23 Apr 21","1.3841"
"22 Apr 21","1.3846"
"21 Apr 21","1.3929"
"20 Apr 21","1.395"
"19 Apr 21","1.3984"
"16 Apr 21","1.3817"
"15 Apr 21","1.3795"
"14 Apr 21","1.3781"
"13 Apr 21","1.3732"
"12 Apr 21","1.3744"
"09 Apr 21","1.3729"
"08 Apr 21","1.3731"
"07 Apr 21","1.3788"
"06 Apr 21","1.3858"
"01 Apr 21","1.3819"
"31 Mar 21","1.3796"
"30 Mar 21","1.3711"
"29 Mar 21","1.3772"
"26 Mar 21","1.3792"
"25 Mar 21","1.3722"
"24 Mar 21","1.3722"
"23 Mar 21","1.3793"
"22 Mar 21","1.3855"
"19 Mar 21","1.3872"
"18 Mar 21","1.3939"
"17 Mar 21","1.3889"
"16 Mar 21","1.3892"
"15 Mar 21","1.3862"
"12 Mar 21","1.3893"
"11 Mar 21","1.3969"
"10 Mar 21","1.3904"
"09 Mar 21","1.3893"
"08 Mar 21","1.3812"
"05 Mar 21","1.3817"
"04 Mar 21","1.3991"
"03 Mar 21","1.3974"
"02 Mar 21","1.3948"
"01 Mar 21","1.3938"
"26 Feb 21","1.3976"
"25 Feb 21","1.4134"
"24 Feb 21","1.4103"
"23 Feb 21","1.4106"
"22 Feb 21","1.4052"
"19 Feb 21","1.4022"
"18 Feb 21","1.3947"
"17 Feb 21","1.3853"
"16 Feb 21","1.3926"
"15 Feb 21","1.3912"
"12 Feb 21","1.3849"
"11 Feb 21","1.3826"
"10 Feb 21","1.3845"
"09 Feb 21","1.3796"
"08 Feb 21","1.374"
"05 Feb 21","1.3724"
"04 Feb 21","1.3659"
"03 Feb 21","1.3644"
"02 Feb 21","1.3629"
"01 Feb 21","1.3663"
"29 Jan 21","1.3728"
"28 Jan 21","1.3719"
"27 Jan 21","1.3704"
"26 Jan 21","1.3742"
"25 Jan 21","1.3671"
"22 Jan 21","1.367"
"21 Jan 21","1.372"
"20 Jan 21","1.363"
"19 Jan 21","1.3618"
"18 Jan 21","1.3575"
"15 Jan 21","1.3585"
"14 Jan 21","1.3691"
"13 Jan 21","1.3634"
"12 Jan 21","1.3624"
"11 Jan 21","1.3492"
"08 Jan 21","1.359"
"07 Jan 21","1.3544"
"06 Jan 21","1.355"
"05 Jan 21","1.3593"
"04 Jan 21","1.3579"
"31 Dec 20","1.3649"
"30 Dec 20","1.3608"
"29 Dec 20","1.3494"
"24 Dec 20","1.3588"
"23 Dec 20","1.3522"
"22 Dec 20","1.3322"
"21 Dec 20","1.3314"
"18 Dec 20","1.3485"
"17 Dec 20","1.3591"
"16 Dec 20","1.3495"
"15 Dec 20","1.3448"
"14 Dec 20","1.333"
"11 Dec 20","1.3216"
"10 Dec 20","1.3275"
"09 Dec 20","1.3396"
"08 Dec 20","1.3361"
"07 Dec 20","1.3313"
"04 Dec 20","1.3473"
"03 Dec 20","1.3497"
"02 Dec 20","1.3326"
"01 Dec 20","1.3364"
"30 Nov 20","1.3353"
"27 Nov 20","1.3344"
"26 Nov 20","1.333"
"25 Nov 20","1.3379"
"24 Nov 20","1.3355"
"23 Nov 20","1.3294"
"20 Nov 20","1.3286"
"19 Nov 20","1.3226"
"18 Nov 20","1.3302"
"17 Nov 20","1.326"
"16 Nov 20","1.3176"
"13 Nov 20","1.3159"
"12 Nov 20","1.3129"
"11 Nov 20","1.3197"
"10 Nov 20","1.325"
"09 Nov 20","1.315"
"06 Nov 20","1.316"
"05 Nov 20","1.3022"
"04 Nov 20","1.2994"
"03 Nov 20","1.3071"
"02 Nov 20","1.2904"
"30 Oct 20","1.2933"
"29 Oct 20","1.2905"
"28 Oct 20","1.2994"
"27 Oct 20","1.3066"
"26 Oct 20","1.302"
"23 Oct 20","1.3047"
"22 Oct 20","1.3095"
"21 Oct 20","1.3163"
"20 Oct 20","1.2962"
"19 Oct 20","1.2997"
"16 Oct 20","1.293"
"15 Oct 20","1.2906"
"14 Oct 20","1.3041"
"13 Oct 20","1.2987"
"12 Oct 20","1.307"
"09 Oct 20","1.2994"
"08 Oct 20","1.2928"
"07 Oct 20","1.2895"
"06 Oct 20","1.2963"
"05 Oct 20","1.2974"
"02 Oct 20","1.2932"
"01 Oct 20","1.287"
"30 Sep 20","1.2924"
"29 Sep 20","1.2842"
"28 Sep 20","1.2842"
"25 Sep 20","1.2705"
"24 Sep 20","1.2714"
"23 Sep 20","1.2765"
"22 Sep 20","1.2721"
"21 Sep 20","1.2795"
"18 Sep 20","1.2962"
"17 Sep 20","1.2952"
"16 Sep 20","1.3006"
"15 Sep 20","1.2854"
"14 Sep 20","1.2883"
"11 Sep 20","1.2782"
"10 Sep 20","1.2867"
"09 Sep 20","1.2996"
"08 Sep 20","1.3023"
"07 Sep 20","1.3177"
"04 Sep 20","1.3199"
"03 Sep 20","1.3271"
"02 Sep 20","1.3303"
"01 Sep 20","1.345"
"28 Aug 20","1.333"
"27 Aug 20","1.3189"
"26 Aug 20","1.3193"
"25 Aug 20","1.3118"
"24 Aug 20","1.3071"
"21 Aug 20","1.3073"
"20 Aug 20","1.3144"
"19 Aug 20","1.3182"
"18 Aug 20","1.3223"
"17 Aug 20","1.3099"
"14 Aug 20","1.311"
"13 Aug 20","1.3096"
"12 Aug 20","1.3058"
"11 Aug 20","1.3087"
"10 Aug 20","1.3089"
"07 Aug 20","1.3051"
"06 Aug 20","1.3143"
"05 Aug 20","1.3143"
"04 Aug 20","1.3079"
"03 Aug 20","1.3032"
"31 Jul 20","1.3126"
"30 Jul 20","1.3046"
"29 Jul 20","1.2966"
"28 Jul 20","1.2947"
"27 Jul 20","1.2895"
"24 Jul 20","1.2789"
"23 Jul 20","1.2746"
"22 Jul 20","1.2732"
"21 Jul 20","1.2749"
"20 Jul 20","1.2647"
"17 Jul 20","1.2536"
"16 Jul 20","1.2597"
"15 Jul 20","1.2623"
"14 Jul 20","1.253"
"13 Jul 20","1.2619"
"10 Jul 20","1.2662"
"09 Jul 20","1.2615"
"08 Jul 20","1.2596"
"07 Jul 20","1.2575"
"06 Jul 20","1.2509"
"03 Jul 20","1.2468"
"02 Jul 20","1.2466"
"01 Jul 20","1.2458"
"30 Jun 20","1.2359"
"29 Jun 20","1.2268"
"26 Jun 20","1.232"
"25 Jun 20","1.2406"
"24 Jun 20","1.245"
"23 Jun 20","1.252"
"22 Jun 20","1.2448"
"19 Jun 20","1.2361"
"18 Jun 20","1.242"
"17 Jun 20","1.2545"
"16 Jun 20","1.2583"
"15 Jun 20","1.2559"
"12 Jun 20","1.2539"
"11 Jun 20","1.2645"
"10 Jun 20","1.2755"
"09 Jun 20","1.2722"
"08 Jun 20","1.2698"
"05 Jun 20","1.2725"
"04 Jun 20","1.2607"
"03 Jun 20","1.2597"
"02 Jun 20","1.2557"
"01 Jun 20","1.2481"
"29 May 20","1.2368"
"28 May 20","1.2323"
"27 May 20","1.2217"
"26 May 20","1.2363"
"22 May 20","1.219"
"21 May 20","1.2212"
"20 May 20","1.227"
"19 May 20","1.2251"
"18 May 20","1.2192"
"15 May 20","1.2126"
"14 May 20","1.2199"
"13 May 20","1.2226"
"12 May 20","1.233"
"11 May 20","1.2358"
"07 May 20","1.2287"
"06 May 20","1.2362"
"05 May 20","1.2454"
"04 May 20","1.2421"
"01 May 20","1.2547"
"30 Apr 20","1.2613"
"29 Apr 20","1.2436"
"28 Apr 20","1.2436"
"27 Apr 20","1.2409"
"24 Apr 20","1.2338"
"23 Apr 20","1.2386"
"22 Apr 20","1.2329"
"21 Apr 20","1.2273"
"20 Apr 20","1.2473"
"17 Apr 20","1.2504"
"16 Apr 20","1.2451"
"15 Apr 20","1.2498"
"14 Apr 20","1.2594"
"09 Apr 20","1.247"
"08 Apr 20","1.2379"
"07 Apr 20","1.2304"
